"node_id","species"
"root","Chaetomium thermophilum;Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis;Dictyostelium discoideum;Chlamydomonas reinhardtii;Oryza sativa;Triticum aestivum;Arabidopsis thaliana;Brassica oleracea var. italica;Trypanosoma brucei;Plasmodium knowlesi;Plasmodium berghei;Plasmodium falciparum"
"43","Chaetomium thermophilum;Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis;Dictyostelium discoideum;Chlamydomonas reinhardtii;Oryza sativa;Triticum aestivum;Arabidopsis thaliana;Brassica oleracea var. italica;Trypanosoma brucei"
"35","Chaetomium thermophilum;Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis;Dictyostelium discoideum;Chlamydomonas reinhardtii;Oryza sativa;Triticum aestivum;Arabidopsis thaliana;Brassica oleracea var. italica"
"8","Chaetomium thermophilum;Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis;Dictyostelium discoideum"
"22","Chaetomium thermophilum;Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis"
"9","Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans;Nematostella vectensis"
"19","Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus;Drosophila melanogaster;Caenorhabditis elegans"
"11","Xenopus laevis;Mus musculus;Homo sapiens;Strongylocentrotus purpuratus"
"13","Xenopus laevis;Mus musculus;Homo sapiens"
"14","Mus musculus;Homo sapiens"
"10","Drosophila melanogaster;Caenorhabditis elegans"
"27","Chlamydomonas reinhardtii;Oryza sativa;Triticum aestivum;Arabidopsis thaliana;Brassica oleracea var. italica"
"29","Oryza sativa;Triticum aestivum;Arabidopsis thaliana;Brassica oleracea var. italica"
"6","Oryza sativa;Triticum aestivum"
"30","Arabidopsis thaliana;Brassica oleracea var. italica"
"40","Plasmodium knowlesi;Plasmodium berghei;Plasmodium falciparum"
"42","Plasmodium knowlesi;Plasmodium berghei"
"Chaetomium_thermophilum","Chaetomium thermophilum"
"Xenopus_laevis","Xenopus laevis"
"Mus_musculus","Mus musculus"
"Homo_sapiens","Homo sapiens"
"Strongylocentrotus_purpuratus","Strongylocentrotus purpuratus"
"Drosophila_melanogaster","Drosophila melanogaster"
"Caenorhabditis_elegans","Caenorhabditis elegans"
"Nematostella_vectensis","Nematostella vectensis"
"Dictyostelium_discoideum","Dictyostelium discoideum"
"Chlamydomonas_reinhardtii","Chlamydomonas reinhardtii"
"Oryza_sativa","Oryza sativa"
"Triticum_aestivum","Triticum aestivum"
"Arabidopsis_thaliana","Arabidopsis thaliana"
"Brassica_oleracea","Brassica oleracea var. italica"
"Trypanosoma_brucei","Trypanosoma brucei"
"Plasmodium_knowlesi","Plasmodium knowlesi"
"Plasmodium_berghei","Plasmodium berghei"
"Plasmodium_falciparum","Plasmodium falciparum"
